date,text,sentiment_score,sentiment_label,contribute_words
2001-05-14 16:39:00,Here is our forecast ,"[0.047403570264577866, 0.05900139361619949, 0.1956292688846588, 0.3351835608482361, 0.36278223991394043]",4,"here, our, is"
2001-05-04 13:51:00,"Traveling to have a business meeting takes the fun out of the trip.  Especially if you have to prepare a presentation.  I would suggest holding the business plan meetings here then take a trip without any formal business meetings.  I would even try and get some honest opinions on whether a trip is even desired or necessary.As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.  Too often the presenter speaks and the others are quiet just waiting for their turn.   The meetings might be better if held in a round table discussion format.  My suggestion for where to go is <PERSON>.  Play golf and rent a ski boat and jet ski's.  Flying somewhere takes too much time.","[0.024257062003016472, 0.20813283324241638, 0.484514057636261, 0.2461206465959549, 0.036975398659706116]",2,"takes, out, especially"
2000-10-18 03:00:00,test successful.  way to go!!!,"[0.06720706820487976, 0.0642518401145935, 0.13564640283584595, 0.32610011100769043, 0.40679457783699036]",4,"successful, test, ."
2000-10-23 06:13:00,"<PERSON>, Can you send me a schedule of the salary and level of everyone in the scheduling group.  Plus your thoughts on any changes that need to be made.  (<PERSON> S for example)<PERSON>","[0.1534152328968048, 0.13932988047599792, 0.22756648063659668, 0.2643348276615143, 0.21535362303256989]",3,"can, plus, ,"
2000-08-31 05:07:00,Let's shoot for <DATE_TIME> at 11:45.  ,"[0.24561089277267456, 0.13715240359306335, 0.17549459636211395, 0.20581845939159393, 0.23592358827590942]",0,"at, let, for"
2000-08-31 04:17:00,"Greg, How about either <DATE_TIME> or <DATE_TIME>?<PERSON>","[0.23090225458145142, 0.2376505583524704, 0.2874048054218292, 0.16006381809711456, 0.08397858589887619]",2,"greg, ,, how"
2000-08-22 07:44:00,Please cc the following distribution list with updates:<PERSON> (<EMAIL_ADDRESS>)<PERSON> (<EMAIL_ADDRESS>)<PERSON> (<EMAIL_ADDRESS>)<PERSON><PERSON><PERSON>Thank you for your help<PERSON>,"[0.16455990076065063, 0.08065532147884369, 0.19195058941841125, 0.2675217092037201, 0.29531246423721313]",4,"please, with, updates"
2000-07-14 06:59:00,<DATE_TIME> between 10 and 11:30,"[0.2973495423793793, 0.2268410474061966, 0.22136664390563965, 0.14201673865318298, 0.11242596060037613]",0,"between, <, and"
2000-10-17 02:26:00,1. login:  pallen pw: ke9davis I don't think these are required by the ISP   2.  static IP address IP: <IP_ADDRESS> Sub: <IP_ADDRESS> gate: <IP_ADDRESS> DNS: <IP_ADDRESS>  3.  Company: 0413        RC:  <DATE_TIME>,"[0.3272444009780884, 0.2726685404777527, 0.2543335556983948, 0.09760577976703644, 0.04814770817756653]",0,"1, these, don"
2000-10-16 06:44:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------""Buckner, <PERSON>"" <<EMAIL_ADDRESS>> on <DATE_TIME> <DATE_TIME>To: ""'<EMAIL_ADDRESS>'"" <<EMAIL_ADDRESS>>cc:  Subject: FW: fixed forward or other Collar floor gas price terms<PERSON>,> As discussed  during our phone conversation, In a Parallon 75 microturbine> power <IN_PAN> deal for a national accounts customer, I am <IN_PAN> a> proposal to sell power to customer at fixed or collar/floor price. To do> so I need a corresponding term gas price for same. Microturbine is an> onsite <IN_PAN> product developed by Honeywell to generate electricity> on customer site (degen). using natural gas. In doing so,  I need your> best fixed price forward gas price deal for 1, <DATE_TIME>, <DATE_TIME>, <DATE_TIME> for> <DATE_TIME>/seasonal supply to microturbines to generate fixed kWh for> customer. We have the opportunity to sell customer kWh 's using> microturbine or sell them turbines <IN_PAN>. kWh deal must have limited/> no risk forward gas price to make deal work. Therein comes Sempra energy> gas trading, truly you.>> We are proposing <IN_PAN> 180 - 240 units across a large number of> stores (60-100) in <LOCATION>.> Store number varies because of installation hurdles face at small percent.>> For <DATE_TIME> a day  <PERSON> run time:> Gas requirement for 180 microturbines 227 - 302 MMcf per year> Gas requirement for 240 microturbines 302 - 403 MMcf per <DATE_TIME> Gas will likely be consumed from <DATE_TIME>, during peak> electric period.> Gas price required: Burnertip price behind (LDC) San Diego Gas & Electric> Need detail breakout of commodity and transport cost (firm or> interruptible).>> Should you have <IN_PAN> questions, give me a call.> Let me assure you, this is real deal!!>> Buck Buckner, <LOCATION>, MBA> Manager, Business Development and Planning> Big Box Retail Sales> Honeywell Power Systems, Inc.> 8725 Pan American Frwy> Albuquerque, NM 87113> <PHONE_NUMBER>> 505<IN_PAN>> <PHONE_NUMBER>> <PHONE_NUMBER>> ","[0.1342681497335434, 0.20148487389087677, 0.19078762829303741, 0.2907651662826538, 0.1826941817998886]",3,"forward, our, on"
2000-10-16 06:42:00,"Mr. <PERSON>, For delivered gas behind <LOCATION>, Enron Energy Services is the appropriate Enron entity.  I have forwarded your request to <LOCATION> at EES.  Her phone number is <UK_NHS>.  <PERSON>","[0.13896000385284424, 0.11354076862335205, 0.20775263011455536, 0.2602072060108185, 0.2795393764972687]",4,"for, appropriate, mr"
2000-10-13 06:45:00,"<PERSON>, Here are the rentrolls: Open them and save in the rentroll folder.  Follow these steps so you don't misplace these files. 1.  Click on Save As 2.  Click on the drop down triangle under <PERSON> in: 3.  Click on the  (C): drive 4.  Click on the appropriate folder 5.  Click on Save:<PERSON>","[0.23661383986473083, 0.1480611115694046, 0.1775110810995102, 0.21705152094364166, 0.2207624465227127]",0,"so, follow, open"
